hitid,hittypeid,title,description,keywords,reward,creationtime,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,workerid,assignmentstatus,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,answersurveycode,approve,reject
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,388U7OUMF8UB37F5EO508QZVXK00RE,AIV97GGKFRJON,Submitted,Mon Oct 01 19:05:13 PDT 2018,Mon Oct 01 19:05:24 PDT 2018,Thu Oct 04 19:05:24 PDT 2018,,,,11,0% (0/0),0% (0/0),0% (0/0),1IDTOTZX,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,34YB12FSQZHHHVDYNIYM7JS1YLVGMS,A1P3YDRJGXWPDT,Submitted,Tue Oct 02 07:17:11 PDT 2018,Tue Oct 02 07:19:34 PDT 2018,Fri Oct 05 07:19:34 PDT 2018,,,,143,0% (0/0),0% (0/0),0% (0/0),2YZGAFL2,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3Y54SXRO1ME4Z84DGKOFXCOK1DXUTM,A1K366E49OCAC3,Submitted,Tue Oct 02 19:47:11 PDT 2018,Tue Oct 02 19:49:53 PDT 2018,Fri Oct 05 19:49:53 PDT 2018,,,,162,0% (0/0),0% (0/0),0% (0/0),4BAJMBLL,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3WJEQKOXA9VJBFE68WNER5TV2CR1AR,A1SOLLV4X7XQ0U,Submitted,Tue Oct 02 00:50:43 PDT 2018,Tue Oct 02 00:57:16 PDT 2018,Fri Oct 05 00:57:16 PDT 2018,,,,393,0% (0/0),0% (0/0),0% (0/0),5AYXMC4B,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3I0BTBYZAYEK08RRSJXUGMSS0B40YD,A2VZNFLE1JYUY4,Submitted,Tue Oct 02 01:58:31 PDT 2018,Tue Oct 02 02:01:08 PDT 2018,Fri Oct 05 02:01:08 PDT 2018,,,,157,0% (0/0),0% (0/0),0% (0/0),5I86PADN,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3IFS6Q0HJJCYBHWYX3UB444N5MEIS5,A182YKPS46KE9F,Submitted,Tue Oct 02 04:45:10 PDT 2018,Tue Oct 02 04:54:29 PDT 2018,Fri Oct 05 04:54:29 PDT 2018,,,,559,0% (0/0),0% (0/0),0% (0/0),9001UCOS,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3ATTHHXXWBH67YIXRD0Y3CLFKFRXIV,A1LJKHC0NH9TIX,Submitted,Tue Oct 02 20:43:29 PDT 2018,Tue Oct 02 20:57:51 PDT 2018,Fri Oct 05 20:57:51 PDT 2018,,,,862,0% (0/0),0% (0/0),0% (0/0),9CKRB8BI,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3E337GFOLA1NZDYYZJDMKYH13G1GNY,ASDJTBZCQ9ZB0,Submitted,Tue Oct 02 13:13:21 PDT 2018,Tue Oct 02 13:16:54 PDT 2018,Fri Oct 05 13:16:54 PDT 2018,,,,213,0% (0/0),0% (0/0),0% (0/0),BU3J7CMW,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3ZR9AIQJUC2421D73C9N0XOL5K840J,A11QI3DSDPOUOS,Submitted,Tue Oct 02 14:41:05 PDT 2018,Tue Oct 02 14:54:17 PDT 2018,Fri Oct 05 14:54:17 PDT 2018,,,,792,0% (0/0),0% (0/0),0% (0/0),G2CE9SJQ,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1016,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Tue Oct 02 21:03:48 PDT 2018,,,3K772S5NP94X53GWQQSLFBZT4WSEH1,A2AKLWFMAT1ILJ,Submitted,Tue Oct 02 20:24:09 PDT 2018,Tue Oct 02 20:43:22 PDT 2018,Fri Oct 05 20:43:22 PDT 2018,,,,1153,0% (0/0),0% (0/0),0% (0/0),G92DPOF0,x,
