hitid,hittypeid,title,description,keywords,reward,creationtime,maxassignments,requesterannotation,assignmentdurationinseconds,autoapprovaldelayinseconds,expiration,numberofsimilarhits,lifetimeinseconds,assignmentid,workerid,assignmentstatus,accepttime,submittime,autoapprovaltime,approvaltime,rejectiontime,requesterfeedback,worktimeinseconds,lifetimeapprovalrate,last30daysapprovalrate,last7daysapprovalrate,answersurveycode,approve,reject
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3DY46V3X3QBLTR38ENY9MKQQJQF55C,APO4DD2J9RWGP,Submitted,Mon Sep 24 14:58:30 PDT 2018,Mon Sep 24 15:12:16 PDT 2018,Thu Sep 27 15:12:16 PDT 2018,,,,826,100% (1/1),0% (0/0),0% (0/0),01HZO042,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,31IBVUNM9TSUTIBCQQTVCUB2MKNVF9,A2N962G55T9MOB,Submitted,Tue Sep 25 11:33:52 PDT 2018,Tue Sep 25 11:52:59 PDT 2018,Fri Sep 28 11:52:59 PDT 2018,,,,1147,100% (1/1),0% (0/0),0% (0/0),036TS9KO,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,39KFRKBFIOO53PJAU4Z56NOAW46OYR,A3S6BIUCSTL1R9,Submitted,Tue Sep 25 14:23:53 PDT 2018,Tue Sep 25 14:26:22 PDT 2018,Fri Sep 28 14:26:22 PDT 2018,,,,149,0% (0/0),0% (0/0),0% (0/0),09H6TM6Z,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3YZ8UPK3VUFNDR22UYTP82OGAZYCUZ,A18DGTX35INZIJ,Submitted,Tue Sep 25 11:09:25 PDT 2018,Tue Sep 25 11:23:28 PDT 2018,Fri Sep 28 11:23:28 PDT 2018,,,,843,0% (0/0),0% (0/0),0% (0/0),0G9DUJE9,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3NG53N1RLWC89J4TW0EQWA5YC89P8W,A16E0XDNK8KX5Y,Submitted,Mon Sep 24 09:55:13 PDT 2018,Mon Sep 24 09:57:33 PDT 2018,Thu Sep 27 09:57:33 PDT 2018,,,,140,0% (0/0),0% (0/0),0% (0/0),0O021TS8,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3RANCT1ZVGA43MAWGYXUXIIYSV0UBA,AQHFC1PH6XGLJ,Submitted,Mon Sep 24 10:30:26 PDT 2018,Mon Sep 24 10:39:35 PDT 2018,Thu Sep 27 10:39:35 PDT 2018,,,,549,0% (0/0),0% (0/0),0% (0/0),0T8NO0X1,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3YWRV122CTSL1OCPDMDK6GSXKZY8US,A1FLBBF7XOHQPR,Submitted,Mon Sep 24 16:36:31 PDT 2018,Mon Sep 24 16:51:37 PDT 2018,Thu Sep 27 16:51:37 PDT 2018,,,,906,0% (0/0),0% (0/0),0% (0/0),10PQY955,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3A1COHJ8NKOGW265DN6LN137QI58HI,A2M5SQR7UA1AV3,Submitted,Mon Sep 24 11:48:59 PDT 2018,Mon Sep 24 12:03:27 PDT 2018,Thu Sep 27 12:03:27 PDT 2018,,,,868,100% (1/1),0% (0/0),0% (0/0),143NF7VZ,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,33CID57105MWH1JPSRQNOCO3RMH3L5,A2WGW5Y3ZFBDEC,Submitted,Mon Sep 24 16:47:02 PDT 2018,Mon Sep 24 17:06:51 PDT 2018,Thu Sep 27 17:06:51 PDT 2018,,,,1189,0% (0/0),0% (0/0),0% (0/0),1DVJW6N9,x,
31ANT7FQN8VUM0PAPNUGMXXSSHQ5HY,3164SQ54U4PQLLCRCCXF8JS5M9G7XR,Screener survey for labor market study,"Fill out this 2-minute screener survey to qualify for a study that starts immediately, that study will take up to 15 minutes, and pays participation bonus $1 with scope to earn extra. Must have webcam.","survey, demographics, experiment",$0.05,Mon Sep 24 08:52:27 PDT 2018,1000,BatchId:3380463;OriginalHitTemplateId:920937340;,2700,259200,Mon Oct 08 08:52:27 PDT 2018,,,3NJM2BJS4XZALMU6DCUVYW1H27GCPR,AYCGL8UG3ZVVK,Submitted,Mon Sep 24 14:37:46 PDT 2018,Mon Sep 24 15:11:45 PDT 2018,Thu Sep 27 15:11:45 PDT 2018,,,,2039,0% (0/0),0% (0/0),0% (0/0),1EYF5P8K,x,
